,agent1
ep758,16.0
ep759,16.0
ep760,16.0
ep761,13.0
ep762,16.0
ep763,16.0
ep764,16.0
ep765,14.0
ep766,16.0
ep767,15.0
ep768,14.0
ep769,14.0
ep770,16.0
ep771,16.0
ep772,16.0
ep773,11.0
ep774,16.0
ep775,13.0
ep776,11.0
ep777,16.0
ep778,15.0
ep779,9.0
ep780,14.0
ep781,7.0
ep782,15.0
ep783,15.0
ep784,15.0
ep785,13.0
ep786,16.0
ep787,14.0
ep788,16.0
ep789,16.0
ep790,16.0
ep791,16.0
ep792,16.0
ep793,16.0
ep794,14.0
ep795,14.0
ep796,16.0
ep797,16.0
ep798,16.0
ep799,13.0
ep800,15.0
ep801,11.0
ep802,15.0
ep803,16.0
ep804,16.0
ep805,16.0
ep806,16.0
ep807,12.0
ep808,16.0
ep809,14.0
ep810,14.0
ep811,16.0
ep812,15.0
ep813,7.0
ep814,14.0
ep815,16.0
ep816,16.0
ep817,16.0
ep818,16.0
ep819,15.0
ep820,11.0
ep821,10.0
ep822,11.0
ep823,16.0
ep824,16.0
ep825,14.0
ep826,12.0
ep827,11.0
ep828,16.0
ep829,10.0
ep830,16.0
ep831,15.0
ep832,16.0
ep833,14.0
ep834,11.0
ep835,16.0
ep836,16.0
ep837,13.0
ep838,16.0
ep839,16.0
ep840,16.0
ep841,13.0
ep842,16.0
ep843,16.0
ep844,16.0
ep845,16.0
ep846,16.0
ep847,16.0
ep848,16.0
ep849,15.0
ep850,16.0
ep851,13.0
ep852,13.0
ep853,16.0
ep854,16.0
ep855,16.0
ep856,15.0
ep857,11.0
ep858,12.0
ep859,16.0
ep860,16.0
ep861,14.0
ep862,16.0
ep863,16.0
ep864,15.0
ep865,16.0
ep866,16.0
ep867,16.0
ep868,16.0
ep869,13.0
ep870,16.0
ep871,11.0
ep872,16.0
ep873,16.0
ep874,16.0
ep875,16.0
ep876,16.0
ep877,16.0
ep878,16.0
ep879,13.0
ep880,16.0
ep881,16.0
ep882,16.0
ep883,16.0
ep884,16.0
ep885,12.0
ep886,9.0
ep887,16.0
ep888,16.0
ep889,16.0
ep890,14.0
ep891,16.0
ep892,14.0
ep893,16.0
ep894,14.0
ep895,15.0
ep896,16.0
ep897,15.0
ep898,14.0
ep899,13.0
ep900,11.0
ep901,16.0
ep902,11.0
ep903,16.0
ep904,16.0
ep905,16.0
ep906,16.0
ep907,16.0
ep908,15.0
ep909,11.0
ep910,16.0
ep911,14.0
ep912,15.0
ep913,15.0
ep914,11.0
ep915,11.0
ep916,12.0
ep917,15.0
ep918,11.0
ep919,9.0
ep920,16.0
ep921,16.0
ep922,9.0
ep923,16.0
ep924,16.0
ep925,15.0
ep926,9.0
ep927,15.0
ep928,11.0
ep929,15.0
ep930,9.0
ep931,14.0
ep932,16.0
ep933,16.0
ep934,14.0
ep935,16.0
ep936,7.0
ep937,16.0
ep938,14.0
ep939,16.0
ep940,15.0
ep941,16.0
ep942,13.0
ep943,12.0
ep944,16.0
ep945,16.0
ep946,16.0
ep947,16.0
ep948,15.0
ep949,16.0
ep950,16.0
ep951,15.0
ep952,16.0
ep953,12.0
ep954,16.0
ep955,16.0
ep956,10.0
ep957,12.0
ep958,15.0
ep959,13.0
ep960,11.0
ep961,16.0
ep962,16.0
ep963,9.0
ep964,16.0
ep965,16.0
ep966,13.0
ep967,16.0
ep968,16.0
ep969,7.0
ep970,16.0
ep971,16.0
ep972,16.0
ep973,16.0
ep974,16.0
ep975,16.0
ep976,16.0
ep977,16.0
ep978,13.0
ep979,16.0
ep980,14.0
ep981,16.0
ep982,16.0
ep983,9.0
ep984,13.0
ep985,16.0
ep986,13.0
ep987,16.0
ep988,16.0
ep989,16.0
ep990,16.0
ep991,10.0
ep992,13.0
ep993,10.0
ep994,16.0
ep995,16.0
ep996,16.0
ep997,16.0
ep998,16.0
ep999,13.0
ep1000,16.0
ep1001,16.0
ep1002,16.0
ep1003,16.0
ep1004,16.0
ep1005,16.0
ep1006,16.0
ep1007,16.0
ep1008,16.0
ep1009,16.0
ep1010,16.0
ep1011,16.0
ep1012,16.0
ep1013,16.0
ep1014,16.0
ep1015,10.0
ep1016,14.0
ep1017,16.0
ep1018,16.0
ep1019,16.0
ep1020,16.0
ep1021,11.0
ep1022,11.0
ep1023,16.0
ep1024,16.0
ep1025,16.0
ep1026,16.0
ep1027,16.0
ep1028,15.0
ep1029,16.0
ep1030,16.0
ep1031,16.0
ep1032,11.0
ep1033,16.0
ep1034,16.0
ep1035,16.0
ep1036,16.0
ep1037,16.0
ep1038,16.0
ep1039,16.0
ep1040,16.0
ep1041,16.0
ep1042,16.0
ep1043,16.0
ep1044,16.0
ep1045,16.0
ep1046,13.0
ep1047,16.0
ep1048,11.0
ep1049,16.0
ep1050,11.0
ep1051,16.0
